time,open,high,low,close,Overbought,Oversold
2016-12-09T06:30:00-08:00,0.662,0.886,0.566,0.814,0,0
2016-12-12T06:30:00-08:00,0.688,0.824,0.634,0.797,0,0
2016-12-13T06:30:00-08:00,0.805,0.805,0.391,0.605,0,0
2016-12-14T06:30:00-08:00,0.752,0.912,0.659,0.898,0,0
2016-12-15T06:30:00-08:00,0.751,0.908,0.736,0.854,0,0
2016-12-16T06:30:00-08:00,0.726,0.915,0.507,0.91,0,0
2016-12-19T06:30:00-08:00,1.176,1.228,0.823,1.171,0,0
2016-12-20T06:30:00-08:00,0.812,0.95,0.615,0.939,0,0
2016-12-21T06:30:00-08:00,1.587,1.587,0.726,0.92,0,0
2016-12-22T06:30:00-08:00,0.955,1.007,0.686,0.893,0,0
2016-12-23T06:30:00-08:00,0.656,0.873,0.656,0.864,0,0
2016-12-27T06:30:00-08:00,0.756,1.06,0.71,1.02,0,0
2016-12-28T06:30:00-08:00,1.672,1.672,0.73,0.911,0,0
2016-12-29T06:30:00-08:00,1.227,1.227,0.882,0.944,0,0
2016-12-30T06:30:00-08:00,1.083,1.174,0.943,1.088,0,0
2017-01-03T06:30:00-08:00,0.82,0.995,0.75,0.978,0,0
2017-01-04T06:30:00-08:00,0.95,0.98,0.826,0.875,0,0
2017-01-05T06:30:00-08:00,0.681,1.21,0.628,1.153,0,0
2017-01-06T06:30:00-08:00,0.681,1.218,0.628,0.972,0,0
2017-01-09T06:30:00-08:00,1.042,1.313,0.953,1,0,0
2017-01-10T06:30:00-08:00,0.501,0.935,0.456,0.888,0,0
2017-01-11T06:30:00-08:00,1.028,1.099,0.617,0.845,0,0
2017-01-12T06:30:00-08:00,0.991,1.378,0.965,1.072,0,0
2017-01-13T06:30:00-08:00,0.991,1.378,0.645,0.919,0,0
2017-01-17T06:30:00-08:00,0.991,1.378,0.645,0.955,0,0
2017-01-18T06:30:00-08:00,1.629,1.629,1.019,1.077,0,0
2017-01-19T06:30:00-08:00,1.629,1.629,0.652,0.942,0,0
2017-01-20T06:30:00-08:00,1.408,1.464,0.949,1.007,0,0
2017-01-23T06:30:00-08:00,1.408,1.464,0.818,0.948,0,0
2017-01-24T06:30:00-08:00,1.408,1.464,0.621,0.757,0,0
2017-01-25T06:30:00-08:00,1.408,1.464,0.46,0.72,0,0
2017-01-26T06:30:00-08:00,1.408,1.464,0.46,0.871,0,0
2017-01-27T06:30:00-08:00,1.408,1.464,0.46,1.002,0,0
2017-01-30T06:30:00-08:00,1.086,1.419,1.059,1.087,0,0
2017-01-31T06:30:00-08:00,1.009,1.282,1.009,1.025,0,0
2017-02-01T06:30:00-08:00,1.008,1.419,0.716,0.915,0,0
2017-02-02T06:30:00-08:00,0.946,1.064,0.861,0.861,0,0
2017-02-03T06:30:00-08:00,1.132,1.142,0.761,0.764,0,0
2017-02-06T06:30:00-08:00,1.015,1.097,0.836,1.047,0,0
2017-02-07T06:30:00-08:00,0.675,1.284,0.666,1.101,0,0
2017-02-08T06:30:00-08:00,1.078,1.244,0.908,0.974,0,0
